RS Ou  N/P,Type Contribuable
AAAF,PP
AAAV,PP
AAEE,PP
AAEG,PP
AAFN,PP
AAJP,PP
AANF,PP
AAPB,PP
AAQG,PP
AASM,PP
AATH,PP
AAXM,PP
AAYW,PP
AAZU,PP
ABBI,PP
ABDB,PP
ABDX,PP
ABFQ,PP
ABJA,PP
ABKI,PP
ABLI,PP
ABMD,PP
ABME,PP
ABOZ,PP
ABSR,PP
ABTE,PP
ACDK,PP
ACFH,PP
ACNS,PP
ACOL,PP
ACSM,PP
ACSS,PP
ACYT,PP
ADAE,PP
ADBT,PP
ADCN,PP
ADJL,PP
ADLN,PP
ADNN,PP
ADNU,PP
ADOD,PP
ADSP,PP
ADVK,PP
ADXC,PP
ADYR,PP
AEFD,PP
AEFK,PP
AEHJ,PP
AEIQ,PP
AEJJ,PP
AEKX,PP
AEND,PP
AENJ,PP
AEPN,PP
AEPS,PP
AEUD,PP
AEVP,PP
AEYC,PP
AFHH,PP
AFIQ,PP
AFIT,PP
AFIW,PP
AFKD,PP
AFKP,PP
AFLD,PP
AFLW,PP
AFOL,PP
AFWU,PP
AFXD,PP
AFZH,PP
AGEE,PP
AGEM,PP
AGFE,PP
AGHD,PP
AGIV,PP
AGNB,PP
AGNG,PP
AGNT,PP
AGPL,PP
AGSB,PP
AGWN,PP
AHCF,PP
AHCS,PP
AHEP,PP
AHFF,PP
AHGK,PP
AHJX,PP
AHKD,PP
AHLM,PP
AHPU,PP
AHRQ,PP
AHXL,PP
AHYP,PP
AHZC,PP
AIAY,PP
AIGG,PP
AIKR,PP
AINN,PP
AIOV,PP
AIRB,PP
AIRM,PP
AISS,PP
AIUS,PP
AIYM,PP
AIYP,PP
AJCY,PP
AJDU,PP
AJFS,PP
AJOG,PP
AJOU,PP
AJPT,PP
AJSA,PP
AJVI,PP
AJVN,PP
AJVP,PP
AJZF,PP
AJZL,PP
AKBH,PP
AKEM,PP
AKGA,PP
AKIK,PP
AKIR,PP
AKJC,PP
AKJX,PP
AKKX,PP
AKLC,PP
AKLU,PP
AKMR,PP
AKNS,PP
AKOX,PP
AKPI,PP
AKRC,PP
AKUU,PP
AKYJ,PP
ALAW,PP
ALDG,PP
ALDR,PP
ALKI,PP
ALMO,PP
ALPF,PP
ALYE,PP
ALYF,PP
ALYO,PP
ALYZ,PP
ALZY,PP
AMAV,PP
AMCF,PP
AMCY,PP
AMFM,PP
AMJN,PP
AMNE,PP
AMVZ,PP
AMWU,PP
AMXL,PP
AMZY,PP
ANBS,PP
ANHY,PP
ANHZ,PP
ANIY,PP
ANKI,PP
ANLN,PP
ANNU,PP
ANQR,PP
ANSH,PP
ANVO,PP
ANVU,PP
ANWA,PP
ANWX,PP
AOBH,PP
AOBO,PP
AOFT,PP
AOHN,PP
AOHW,PP
AOTW,PP
AOUO,PP
AOUQ,PP
AOVV,PP
AOWM,PP
APAL,PP
APCH,PP
APCO,PP
APDG,PP
APDS,PP
APGX,PP
APHV,PP
APHX,PP
APIA,PP
